Country_Code,GDP,year
CD,952.77108292065,1987
CD,957.671957013036,1986
CD,943.793842641303,1985
CD,971.071374827525,1984
CD,951.358551446458,1983
CD,968.331830863816,1982
CD,1002.41537708901,1981
CD,1008.33935841626,1980
CD,1018.10162802476,1979
CD,1050.00742208486,1978
CD,1144.26482649245,1977
CD,1164.70931403705,1976
CD,1262.2249737007,1975
CD,1364.0849388945,1974
CD,1358.50275240035,1973
CD,1290.35656703292,1972
CD,1322.99781988124,1971
CD,1282.64331582123,1970
CD,1323.0460114718,1969
CD,1245.68660892435,1968
CD,1229.48528952487,1967
CD,1278.48523292439,1966
CD,1231.99389442249,1965
CD,1253.81952670838,1964
CD,1320.03817859144,1963
CD,1288.32777649995,1962
CD,1091.02374380592,1961
CD,1255.69660853314,1960
CG,1909.9560382117,2018
CG,2003.27121075187,2017
CG,2174.19310251224,2016
CG,2439.35189403696,2015
CG,2488.68118548992,2014
CG,2390.65754938662,2013
CG,2467.06102906839,2012
CG,2307.49384399715,2011
CG,2332.28508055953,2010
CG,2211.31572382028,2009
CG,2061.55829880574,2008
CG,2004.10103961966,2007
CG,2226.0233547376,2006
CG,2140.03686200251,2005
CG,2058.88402946896,2004
CG,2058.88683675038,2003
CG,2100.16876714574,2002
CG,2056.16505922617,2001
CG,2057.01922023551,2000
CG,1986.8478922289,1999
CG,2095.34403570595,1998
CG,2064.7536042465,1997
CG,2122.62819294837,1996
CG,2092.54337905245,1995
CG,2069.79640456567,1994
CG,2255.94360801961,1993
CG,2346.67913794406,1992
CG,2352.52754080776,1991
CG,2363.76701814587,1990
CG,2408.14159896257,1989
CG,2415.94091643835,1988
CG,2443.79019878646,1987
CG,2511.48682046393,1986
CG,2776.76428489105,1985
CG,2894.09973517119,1984
CG,2773.62663758927,1983
CG,2674.95109240622,1982
CG,2211.31674185091,1981
CG,1921.96861829766,1980
CG,1670.77966059118,1979
CG,1556.66717228441,1978
CG,1498.31802356781,1977
CG,1685.48230892799,1976
CG,1711.43754680841,1975
CG,1633.5218596222,1974
CG,1562.12627199102,1973
CG,1489.16526262926,1972
CG,1414.23871124911,1971
CG,1353.23817407044,1970
CG,1311.23001699027,1969
CG,1255.92951871902,1968
CG,1201.40130423722,1967
CG,1210.73883952684,1966
CG,1228.77600898682,1965
CG,1218.55873958116,1964
CG,1206.1534137723,1963
CG,1290.76325572732,1962
CG,1259.50432623652,1961
CG,1192.85616529576,1960
KM,1413.98188639216,2018
KM,1385.61417581045,2017
KM,1338.59046548627,2016
KM,1329.3704808998,2015
KM,1331.21227800861,2014
KM,1309.47579833416,2013
KM,1227.8383415516,2012
KM,1178.42049434859,2011
KM,1135.3590787937,2010
KM,1105.09838128939,2009
KM,1058.62282121214,2008
KM,1038.68653866198,2007
KM,1051.1859194001,2006
KM,1044.94496999226,2005
KM,1037.06257910624,2004
